Name,Comment,Time,Likes,Reply Count
144pGamerCat,Amog sus,2022-07-08T10:54:43Z,0,0
Aj_12e,Nice,2022-07-08T10:50:29Z,0,0
Roman Silva,Haha Moo looked so upset 😭 2:52,2022-07-08T10:45:29Z,1,0
Mr progamer69,https://www.youtube.com/channel/UCw1-BLqN3yUeo0eBTr5fbAw,2022-07-08T10:33:01Z,0,0
Dede Kurniawan,"Woah vanoss on trending page, letsgoooooo",2022-07-08T10:12:53Z,0,0
Boudreaux Lee,#technobladeneverdies,2022-07-08T10:11:20Z,0,0
Carter Campbell,12:00 lmfao pride sheep,2022-07-08T09:55:03Z,1,0
The Car Warranty Guy,the thumbnail is definetly blackface,2022-07-08T09:47:09Z,0,0
Tal Hirsh,Keep running it lol,2022-07-08T09:19:15Z,0,0
Zaddy Mao,Reminds me of popularmmos,2022-07-08T08:58:46Z,1,0
Mitsu manabe,more F9 moment,2022-07-08T08:53:29Z,0,0
Epic-Ace-Studios,Hello I am gigamontoya and the algorithm dishonored my family,2022-07-08T08:37:30Z,0,0
cesch verona,E,2022-07-08T08:37:20Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,That ending is literally their whole group shtick lol,2022-07-08T08:24:07Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,That Thumbnail is gold 😂😂,2022-07-08T08:20:03Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,That Thumbnail is gold 😂😂,2022-07-08T08:15:59Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,Love you vanoss all your video are amazing,2022-07-08T08:11:55Z,0,0
Yannis3O3,This gives me PopularMMOs vibes 😭,2022-07-08T08:11:03Z,2,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,5:40 THAT AGED WELL XD,2022-07-08T08:07:51Z,1,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,"Are child hood is up to 100,0000 cuz of you Vanoss ❤️",2022-07-08T08:03:45Z,0,0
Squirrel Tard,https://youtu.be/UR2ekyDs6xs,2022-07-08T08:03:37Z,0,0
that guy,All hail vanoss,2022-07-08T08:03:32Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,5:40 THAT AGED WELL XD,2022-07-08T07:59:41Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T07:55:37Z,0,0
cryptolabz,popularmmos,2022-07-08T07:55:08Z,0,0
Tyler Bartlett,Moo became a moo,2022-07-08T07:54:59Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,"A 17 minute video, we have been blessed",2022-07-08T07:51:33Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,Love the minecraft games dude keep it up!,2022-07-08T07:47:29Z,1,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,haven't seen this genre in a while,2022-07-08T07:43:23Z,0,0
ChananaBips,Moo stepped on a bee,2022-07-08T07:39:51Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,"Are child hood is up to 100,0000 cuz of you Vanoss ❤️",2022-07-08T07:39:18Z,0,0
Mr. Green,"6:58
So it's chicken with sun sauce?
7:04
Holy! You got fire breath!",2022-07-08T07:37:11Z,26,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T07:35:14Z,0,0
John Allen Villanueva,"the past traumatize
the present he is going to do
the future awaits him",2022-07-08T07:34:17Z,0,0
Cheese gromit,Cheese 🧀 gromit,2022-07-08T07:32:29Z,1,0
Fireball,PopularMMMos nostalgia!!!,2022-07-08T07:31:37Z,0,0
A very Dapper Duck,This oddly reminds me of popularmmos,2022-07-08T07:31:13Z,1,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,haven't seen this genre in a while,2022-07-08T07:31:09Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T07:27:03Z,0,0
BLACK_ EAGLE_19,"3 ree’s n and 1 sane person in this vid, this vid a banger tripple plastic",2022-07-08T07:26:24Z,2,0
LinPlays,2015 youtube right here,2022-07-08T07:25:53Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,Love you vanoss all your video are amazing,2022-07-08T07:22:59Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,Perfect timing 14:26,2022-07-08T07:18:54Z,4,0
Brad,I've been watching u for years man keep the quality going 😆😆,2022-07-08T07:18:45Z,32,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,Moo has reached his potential 😂😂,2022-07-08T07:14:49Z,5,0
Adrian. Colton,Mooo snuckles,2022-07-08T07:12:16Z,0,0
wopp,yo do more pls,2022-07-08T07:11:43Z,1,0
Jarno Datema,Moo is orange after the color of his house,2022-07-08T07:11:30Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I love ya vids man keep it up and I love all the jokes specially the hitla ones keep it up beautiful Asian man,2022-07-08T07:10:44Z,2,0
Nelien,Nostalgia hits hard,2022-07-08T07:10:24Z,9,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,"This is such a throwback to Popularmmos, i love it",2022-07-08T07:06:39Z,1,0
Redonkulous,Giga Chanoss,2022-07-08T07:05:54Z,0,0
Beans,Reminds me of popularmmos,2022-07-08T07:03:42Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,best series you've done,2022-07-08T07:02:35Z,4,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T06:58:30Z,1,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,5:40 THAT AGED WELL XD,2022-07-08T06:54:25Z,0,0
Jenifar ღ- 💞MєєT 𝕄є-Cʜ𝐸ᴄK 𝕄у PяσfιℓE💓,I like when y’all play Minecraft it’s funny seeing y’all make the game fun,2022-07-08T06:50:20Z,0,0
Johan Mendoza,Nice,2022-07-08T06:49:50Z,0,0
Marcos Marquez,Go on creative instead,2022-07-08T06:45:31Z,0,0
Htx_Andre_713,Vanoss had a pet slime,2022-07-08T06:40:08Z,1,0
MichaelOCE,nostalgic,2022-07-08T06:33:35Z,0,0
V K,Moreeeeee,2022-07-08T06:32:10Z,0,0
ItsVultox,Vannnnnooooooooooossssssss,2022-07-08T06:30:09Z,0,0
Democracy Means DC Statehood,"La crise climatique est importante et urgente
The climate crisis is important and urgent.",2022-07-08T06:29:30Z,0,0
Qt Sergzzz,Yea im glad they still play mc,2022-07-08T06:28:40Z,0,0
Red Rax,Moo has reached his potential 😂😂,2022-07-08T06:13:34Z,267,2
Student,"This is such a throwback to Popularmmos, i love it",2022-07-08T06:12:22Z,792,25
Qusay Alia,@NuggetGX it wasnt true,2022-07-12T12:51:30Z,0,
UwU Òwó,@Year 2 FMP Yeah. He got remarried (He and Jen divorced) and apparently we beat his new wife /threaten her with a lethal weapon (one of those two),2022-07-10T02:20:10Z,0,
Griffen Luke,I haven't heard that Channel name in awhile,2022-07-09T23:30:58Z,0,
Year 2 FMP,@The Human Plum his wife?,2022-07-09T20:10:16Z,0,
Year 2 FMP,@Genet Hagos his wife?,2022-07-09T20:09:32Z,0,
dinoNon,"@The Human Plum he literally got arrested in jacksonville lol,  theres many articles about it",2022-07-09T19:57:59Z,0,
ceos gamer 016 _,Yeah,2022-07-08T22:15:39Z,1,
The Human Plum,@TimeMasterXX222 all liss,2022-07-08T21:49:05Z,1,
The Human Plum,@Year 2 FMP neither has he.,2022-07-08T21:47:33Z,1,
TimeMasterXX222,@Shadow Raven there are youtube videos about it,2022-07-08T16:59:18Z,1,
Liam LiAM,@Year 2 FMP huh,2022-07-08T15:14:05Z,1,
Shadow Raven,@NuggetGX proof?,2022-07-08T15:12:30Z,2,
MrRedpanda2442,Yup,2022-07-08T14:20:46Z,1,
